date,timestamp,currency,eur_rate
2026-02-20,2026-02-20T17:50:17.588482,USD,1.18
2026-02-20,2026-02-20T17:50:17.588482,GBP,0.874
2026-02-20,2026-02-20T17:50:17.588482,JPY,182.44
2026-02-20,2026-02-20T17:50:17.588482,CHF,0.912
2026-02-20,2026-02-20T17:50:17.588482,AUD,1.67
2026-02-20,2026-02-20T17:50:17.588482,CAD,1.61
2026-02-20,2026-02-20T17:50:17.588482,NOK,11.25
2026-02-20,2026-02-20T17:50:17.588482,SEK,10.68
2026-02-20,2026-02-20T17:50:17.588482,CNY,8.14
2026-02-20,2026-02-20T17:50:17.588482,MXN,20.31
