strategy_id,date,from_currency,to_currency,from_amount_euro,from_amount_base,exchange_rate_mid,exchange_rate_with_spread,to_amount_euro,to_amount_opposite,cost_euro,signal_strength_factor,buy_confidence,sell_confidence
simple-momentum-conf0.5-size0.25,2026-02-25,EUR,AUD,540.95,540.95,1.663477,1.651167,536.95,893.2,4.0,0.54,0.26,0.82
simple-momentum-conf0.5-size0.25,2026-02-25,EUR,CNY,410.83,410.83,8.10028,8.040338,407.79,3303.24,3.04,0.41,0.26,0.57
simple-momentum-conf0.5-size0.5,2026-02-25,EUR,CNY,968.75,968.75,8.10028,8.040338,961.58,7789.08,7.17,0.39,0.21,0.57
simple-momentum-conf0.5-size0.5,2026-02-25,EUR,AUD,465.28,465.28,1.663477,1.651167,461.83,768.25,3.44,0.19,0.19,0.18
simple-momentum-conf0.5-size0.75,2026-02-25,EUR,CNY,1937.5,1937.5,8.10028,8.040338,1923.16,15578.15,14.34,0.39,0.21,0.57
simple-momentum-conf0.5-size0.75,2026-02-25,EUR,AUD,930.56,930.56,1.663477,1.651167,923.67,1536.5,6.89,0.19,0.19,0.18
simple-momentum-conf0.5-size0.25,2026-02-26,EUR,AUD,541.67,541.67,1.659981,1.647697,537.66,892.5,4.01,0.54,0.68,0.4
simple-momentum-conf0.5-size0.25,2026-02-26,EUR,GBP,293.5,293.5,0.871527,0.865078,291.33,253.9,2.17,0.29,0.47,0.12
simple-momentum-conf0.5-size0.5,2026-02-26,EUR,AUD,1354.17,1354.17,1.659981,1.647697,1344.15,2231.26,10.02,0.54,0.68,0.4
simple-momentum-conf0.5-size0.5,2026-02-26,EUR,GBP,733.75,733.75,0.871527,0.865078,728.32,634.75,5.43,0.29,0.47,0.12
simple-momentum-conf0.5-size0.75,2026-02-26,EUR,AUD,2708.33,2708.33,1.659981,1.647697,2688.29,4462.51,20.04,0.54,0.68,0.4
simple-momentum-conf0.5-size0.75,2026-02-26,EUR,GBP,1467.5,1467.5,0.871527,0.865078,1456.64,1269.5,10.86,0.29,0.47,0.12
simple-momentum-conf0.7-size0.25,2026-02-26,EUR,AUD,541.67,541.67,1.659981,1.647697,537.66,892.5,4.01,0.54,0.68,0.4
simple-momentum-conf0.7-size0.5,2026-02-26,EUR,AUD,1354.17,1354.17,1.659981,1.647697,1344.15,2231.26,10.02,0.54,0.68,0.4
simple-momentum-conf0.7-size0.75,2026-02-26,EUR,AUD,2708.33,2708.33,1.659981,1.647697,2688.29,4462.51,20.04,0.54,0.68,0.4
